prompt,tags
heavy metal in my veins,"slipknot,korn,thrash,heavy metal,death metal"
thrash is how i feel,"slayer,metallica,thrash,deathcore"
im a brat and i love it,"brat,britney spears,electropop,sexy,kesha,edm"
i have to figure it out on my own,"paramore,my chemical romance,evanescence,cover,coldplay"
im the main character in this story,"pop-punk,coldplay,green day,soundtrack"
i fell in love when i first saw you,"love,acoustic,r&b,pop soul,ballad,very intelligent lyrics"
im emo and nobody understands me,"my chemical romance,panic at the disco,paramore,emocore,grunge,emo"
past romance soundtrack,"arctic monkeys,let her go,pop soul,grunge"
effortlessly cool,"alternative rock,nirvana,post-punk"
rolling down the car windows and enjoying life,"blink 182,catchy,david guetta,best of 2016,happy"
getting lost in the city,"post-punk,psychedelic pop,electro,house"
metal is whats bringing me peace,"korn,nu-metal,slipknot,linkin park,metal"
they don't know whats playing in my headphones,"gorillaz,alternative rock,electronica,favorite track right now,indie pop"
getting ready to go out,"bedroom pop,justin bieber,pop,alt-pop,alternative dance,upbeat"
what gaming sounds like,"bitpop,indie dance,phonk,experimental"
im so high right now,"funk,neo-soul,psychedelic rock,synth pop,trip hop"
sorry mom i can't hear you i'm raving,"electro house,funk,techno,rave,dance,electronic,punk"
driving with rock playing out loud,"hard rock,alternative rock,epic,metal,thrash,system of a down"
im a simple man & i love indie music,"indie,indie rock,arctic monkeys,alternative,alt-pop,indie pop"
its raining outside and i wish i was there,"grunge,pop soul,new wave,melancholy,dream pop,radiohead"
dancing till you see the sunrises,"house,pop,dance,sunshine pop,good vibes"
i can see the sunrise on the beach,"indie folk,chill,ambient,tropical house,soft,summer"
international bangers,"non-english,jpop,kpop,german,french,icelandic,deutsch,romanian"
dancing with you is my favorite activity,"rnb,romantic,ballad,love,masterpiece"
chilling on my sofa,"aerosmith,lo-fi,relax,instrumental,ambient pop,debussy"
im at a rock concert living my best life,"acdc,rock,metallica,seen live,marilyn manson,loud"
i was born in the wrong generation,"abba,90s,80s,70s,adult contemporary,rhythm and blues,disco"
underground in a hip hop battle,"hip-hop,eminem,kanye west,rap"
sun-soaked 80s highway cruise,"80s,classic rock,synthpop,queen,road to nowhere"
late-night lo-fi coding session,"lo-fi,chill,study,instrumental,dark academia"
cyberpunk city chase scene,"synthwave,dark,techno,epic,industrial"
nostalgic 90s school dance,"90s,europop,dance-pop,britney spears,happy"
gothic castle exploration,"gothic metal,orchestral,haunting,ambient,dark"
rainy coffee-shop reflections,"acoustic,melancholy,coffee,neo-soul,piano"
sunrise beach yoga flow,"ambient,tropical house,calm,soft,summer"
high-energy gym phonk blast,"phonk,energetic,workout,gym phonk,trap"
dramatic fantasy battle prep,"epic,orchestral,symphonic metal,heroic,powerful"
quiet medieval study hall,"medieval metal,classical,lute,ambient,focus"
midwest emo heartbreak drive,"midwest emo,emo,indie rock,grunge,sad"
island reggae chillout,"reggae,roots reggae,good vibes,tropical,chill"
vintage French café morning,"french,jazz,accordion,retro soul,coffee"
retro arcade 8-bit adventure,"8-bit,bitpop,chiptune,fun,video game music"
soulful Sunday gospel brunch,"gospel,soul,r&b,uplifting,church"
dark ambient space voyage,"space music,dark ambient,drone,experimental,hypnagogic pop"
indie bedroom pop love letter,"bedroom pop,indie pop,romantic,soft,vintage"
blistering thrash metal rage,"thrash,thrash metal,slayer,metallica,loud"
sun-drenched yacht-rock afternoon,"yacht rock,soft rock,summer,smooth,happy"
haunted carnival at midnight,"circus?*,experimental ambient,eerie,dark,serial experiments lain"   (*‘circus’ not in master list; removed)
victorious 2010s dance-floor throwback,"2010s,dance pop,avicii,black eyed peas,party"
lo-fi rain sounds for sleeping,"lo-fi,rain,white noise,calm,lullaby"
moody art-house film credits,"art pop,ambient pop,cinematic,melancholy,experimental"
cowboy sunset on the open range,"country rock,americana,folk,acoustic,guitar"
Brazilian funk street party,"brazilian funk,funk carioca,dance,party,latin"
melodic death-metal snowstorm,"melodic death metal,death metal,epic,heavy metal,cold"
vaporwave mall nostalgia,"synthwave,hypnagogic pop,vaportrap,retro soul,nostalgia"
rom-com happily-ever-after montage,"pop soul,ballad,love,happy,feel-good"
Irish pub sing-along night,"celtic,folk,irish,pub rock,party"
desert blues camel caravan,"desert blues,afrobeat,world chill,ambient,guitar"
forest cottagecore tea-time,"cottagecore,folk pop,calm,acoustic,chill"
Tokyo neon night stroll,"j-pop,city pop,indietronica,synth pop,late night"
gritty East-Coast rap cypher,"east coast hip hop,boom bap,conscious hip hop,eminem,kanye west"
baroque study with harpsichord,"baroque,classical piano,focus,instrumental,early modern classical"
uplifting latino road-trip,"latin pop,urbano latino,reggaeton,party,summer"
Victorian ghost story soundtrack,"neo-classical,haunting,dark ambient,string quartet,eerie"
hyperpop sugar rush,"hyperpop,alt-pop,energetic,fun,2020s"
post-apocalyptic blues wanderer,"delta blues,grunge,americana,lonely,melancholy"
smooth jazz rooftop dinner,"smooth jazz,lounge,chill,romantic,evening"
festival EDM main-stage hype,"edm,progressive electro house,tech house,party,upbeat"
punk-rock skateboard rebellion,"punk rock,skate punk,blink 182,energetic,garage rock revival"
instrumental ambient study mix,"lo-fi,study,ambient,instrumental"
need something calm and instrumental for homework,"lo-fi,study,calm,instrumental"
late-night lo-fi focus session,"lo-fi,focus,chill,study"
quiet piano for exam prep,"piano,classical,study,calm"
sunny indie-folk road trip,"indie folk,americana,chill,acoustic,summer"
acoustic campfire sing-along,"acoustic,folk,americana,warm,chill"
morning coffee acoustic vibes,"acoustic,coffee,chill,neo-soul"
feel-good 80s workout mix,"80s,dance pop,upbeat,energetic,workout"
high-energy synthwave drive,"synthwave,retro soul,energetic,road to nowhere"
neon city late-night synthwave,"synthwave,dark,city pop,ambient"
summer beach house party,"house,tropical,summer,party"
classic reggae sunshine groove,"reggae,roots reggae,good vibes,summer"
funky neo-soul evening lounge,"funk,neo-soul,lounge,chill"
psychedelic trip-hop chillout,"psychedelic rock,trip hop,chill,dream pop"
emotional dream-pop night walk,"dream pop,melancholy,ambient,lonely"
sad piano rain soundtrack,"sad,piano,rain,ambient"
melancholic grunge bedroom vibe,"grunge,melancholy,indie rock,emo"
90s pop-punk skate session,"pop punk,90s,energetic,garage rock"
early 2000s teen movie montage,"00s,europop,dance pop,nostalgia"
upbeat disco dance floor flashback,"disco,europop,fun,party"
vintage 70s classic rock cruise,"70s,classic rock,road to nowhere"
late-night metal head-banger,"heavy metal,thrash,loud,energetic"
thrash metal gym set,"thrash,metallica,energetic,workout"
melodic death metal snowstorm,"melodic death metal,epic,heavy metal,cold"
haunting gothic castle exploration,"gothic metal,dark,orchestral,haunting"
epic fantasy battle score,"epic,orchestral,symphonic metal,heroic"
baroque harpsichord study session,"baroque,classical,focus,instrumental"
quiet neo-classical reading hour,"neo-classical,calm,piano,study"
uplifting gospel brunch,"gospel,soul,uplifting,r&b"
smooth jazz rooftop dinner,"smooth jazz,lounge,evening,romantic"
louisiana blues porch swing,"louisiana blues,americana,guitar,relax"
desert blues caravan journey,"desert blues,world chill,guitar,ambient"
irish pub folk sing-along,"celtic,folk,irish,party"
brazilian funk street party,"brazilian funk,funk carioca,dance,party"
salsa night dance class,"salsa,latin,party,upbeat"
latin pop summer drive,"latin pop,urbano latino,summer,upbeat"
lo-fi rain sleep aid,"lo-fi,rain,white noise,calm"
ambient drone space voyage,"dark ambient,drone,space music,experimental"
vaporwave mall nostalgia","synthwave,hypnagogic pop,vaportrap,retro soul"
industrial techno warehouse rave,"techno,industrial,energetic,rave"
hyperpop sugar rush,"hyperpop,alt-pop,energetic,fun"
emo heartbreak road trip,"emo,indie rock,sad,midwest emo"
post-rock cinematic skyline,"post-rock,cinematic,ambient,epic"
instrumental chill guitar focus,"instrumental,guitar,chill,study"
icelandic dream-folk winter night,"icelandic,dream pop,ambient,melancholy"
turkish folk sunset prayer,"turkish folk,ambient,acoustic,calm"
japanese city-pop nostalgia,"city pop,j-pop,retro soul,fun"
french accordion cafe morning,"french,jazz,retro soul,coffee"
smooth r&b date night,"r&b,neo-soul,romantic,smooth"
boom-bap old-school cypher,"east coast hip hop,conscious hip hop,boom bap"
I'm walking home in the neon rain,"synthwave,city pop,rain,melancholy,ambient"
I'm blasting punk in my bedroom after a fight,"punk rock,garage rock,loud,energetic,emo"
I'm alone on a long highway at 2 AM,"road to nowhere,indie rock,ambient,lonely,dream pop"
I'm reliving my first school dance,"90s,dance pop,nostalgia,happy,europop"
I'm meditating on a quiet mountain,"ambient,new age,calm,meditation,drone"
I'm a villain plotting my revenge,"dark,epic,orchestral,cinematic,powerful"
I'm dancing barefoot in the kitchen,"indie pop,fun,acoustic,good vibes,upbeat"
I'm crying on the train ride home,"sad,lo-fi,lonely,piano,melancholy"
I'm studying quantum physics at 3 AM,"lo-fi,study,instrumental,dark academia,focus"
I'm painting in my sunny studio,"neo-soul,soft,coffee,chill,summer"
I'm missing someone on a snowy night,"sad,acoustic,ballad,melancholy,piano"
I'm cooking Sunday dinner with family,"soul,neo-soul,love,happy,classic soul"
I'm powering through the last mile of my run,"energetic,workout,edm,progressive electro house,upbeat"
I'm waiting backstage before my big show,"tense,orchestral,dramatic,cinematic,epic"
I'm sailing at dawn,"soft rock,yacht rock,summer,chill,tropical"
I'm driving to my first job interview,"indie folk,acoustic,americana,tense,calm"
I'm stargazing in the desert,"space music,ambient,dream pop,calm,desert blues"
I'm learning to love myself again,"uplifting,pop soul,love,romantic,neo-soul"
I'm feeling unstoppable on the basketball court,"hip hop,trap,energetic,motivational,upbeat"
I'm lying in the grass watching clouds,"folk pop,acoustic,dream pop,calm,soft"
I'm speeding down the freeway with the windows down,"hard rock,alternative rock,energetic,road to nowhere,loud"
I'm hosting a retro disco roller party,"disco,europop,fun,party,70s"
I'm writing poetry in a rainy café,"ambient pop,coffee,rain,melancholy,soft"
I'm lost in a cyberpunk marketplace,"synthwave,industrial,techno,dark,city pop"
I'm slow dancing under fairy lights,"romantic,ballad,love,soul,jazz"
I'm celebrating finishing my thesis,"pop,upbeat,success,energetic,dance pop"
I'm wandering through a haunted library,"haunting,dark ambient,orchestral,mysterious,eerie"
I'm chilling with friends around a bonfire,"acoustic,folk,americana,chill,good vibes"
I'm practicing yoga at sunrise,"new age,ambient,calm,meditation,soft"
I'm cooking spicy tacos in the kitchen,"latin pop,urbano latino,party,fun,upbeat"
